Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Housing & Real Estate,Rent Price,Median Rent Price,2010,1082,"Census Tract 1046.20, Los Angeles County, California",104620,Pacoima,1400000US06037104620,"(34.2579045, -118.422465)",Median_Rent_Price_2010_1400000US06037104620,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,752,"Census Tract 1047.01, Los Angeles County, California",104701,Pacoima,1400000US06037104701,"(34.268476, -118.4152165)",Median_Rent_Price_2010_1400000US06037104701,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1163,"Census Tract 1047.03, Los Angeles County, California",104703,Pacoima,1400000US06037104703,"(34.2551165, -118.399872)",Median_Rent_Price_2010_1400000US06037104703,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1335,"Census Tract 1047.04, Los Angeles County, California",104704,Pacoima,1400000US06037104704,"(34.2625155, -118.4088415)",Median_Rent_Price_2010_1400000US06037104704,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1239,"Census Tract 1048.10, Los Angeles County, California",104810,Pacoima,1400000US06037104810,"(34.2502955, -118.411179)",Median_Rent_Price_2010_1400000US06037104810,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1253,"Census Tract 1048.21, Los Angeles County, California",104821,Pacoima,1400000US06037104821,"(34.2465705, -118.416294)",Median_Rent_Price_2010_1400000US06037104821,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1253,"Census Tract 1048.22, Los Angeles County, California",104822,Pacoima,1400000US06037104822,"(34.245882, -118.4209225)",Median_Rent_Price_2010_1400000US06037104822,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1444,"Census Tract 1060.10, Los Angeles County, California",106010,Sylmar,1400000US06037106010,"(34.3231715, -118.444538)",Median_Rent_Price_2010_1400000US06037106010,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1060.20, Los Angeles County, California",106020,Sylmar,1400000US06037106020,"(34.320427, -118.428524)",Median_Rent_Price_2010_1400000US06037106020,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1968,"Census Tract 1061.11, Los Angeles County, California",106111,Sylmar,1400000US06037106111,"(34.3231945, -118.4087995)",Median_Rent_Price_2010_1400000US06037106111,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1704,"Census Tract 1061.12, Los Angeles County, California",106112,Sylmar,1400000US06037106112,"(34.305005, -118.414298)",Median_Rent_Price_2010_1400000US06037106112,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1348,"Census Tract 1061.13, Los Angeles County, California",106113,Sylmar,1400000US06037106113,"(34.3062, -118.42203)",Median_Rent_Price_2010_1400000US06037106113,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1135,"Census Tract 1061.14, Los Angeles County, California",106114,Sylmar,1400000US06037106114,"(34.302675, -118.426951)",Median_Rent_Price_2010_1400000US06037106114,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1556,"Census Tract 1064.03, Los Angeles County, California",106403,Sylmar,1400000US06037106403,"(34.306005, -118.441288)",Median_Rent_Price_2010_1400000US06037106403,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1172,"Census Tract 1064.05, Los Angeles County, California",106405,Sylmar,1400000US06037106405,"(34.3146865, -118.448309)",Median_Rent_Price_2010_1400000US06037106405,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1115,"Census Tract 1064.06, Los Angeles County, California",106406,Sylmar,1400000US06037106406,"(34.321542, -118.4587415)",Median_Rent_Price_2010_1400000US06037106406,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1036,"Census Tract 1064.07, Los Angeles County, California",106407,Sylmar,1400000US06037106407,"(34.3105765, -118.4365505)",Median_Rent_Price_2010_1400000US06037106407,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1086,"Census Tract 1064.08, Los Angeles County, California",106408,Sylmar,1400000US06037106408,"(34.3132585, -118.440082)",Median_Rent_Price_2010_1400000US06037106408,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1376,"Census Tract 1065.10, Los Angeles County, California",106510,Sylmar,1400000US06037106510,"(34.3236325, -118.4860245)",Median_Rent_Price_2010_1400000US06037106510,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1359,"Census Tract 1065.20, Los Angeles County, California",106520,Sylmar,1400000US06037106520,"(34.308856, -118.4613605)",Median_Rent_Price_2010_1400000US06037106520,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1066.03, Los Angeles County, California",106603,Granada Hills,1400000US06037106603,"(34.3189225, -118.5218285)",Median_Rent_Price_2010_1400000US06037106603,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1114,"Census Tract 1066.04, Los Angeles County, California",106604,Sylmar,1400000US06037106604,"(34.3042795, -118.474247)",Median_Rent_Price_2010_1400000US06037106604,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1066.41, Los Angeles County, California",106641,Granada Hills,1400000US06037106641,"(34.298025, -118.509153)",Median_Rent_Price_2010_1400000US06037106641,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1480,"Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,1400000US06037106642,"(34.2863475, -118.5084525)",Median_Rent_Price_2010_1400000US06037106642,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1066.43, Los Angeles County, California",106643,Granada Hills,1400000US06037106643,"(34.289784, -118.524711)",Median_Rent_Price_2010_1400000US06037106643,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1521,"Census Tract 1066.45, Los Angeles County, California",106645,Granada Hills,1400000US06037106645,"(34.2905125, -118.4928915)",Median_Rent_Price_2010_1400000US06037106645,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1436,"Census Tract 1066.46, Los Angeles County, California",106646,Granada Hills,1400000US06037106646,"(34.2790905, -118.4941245)",Median_Rent_Price_2010_1400000US06037106646,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,888,"Census Tract 1066.48, Los Angeles County, California",106648,Sylmar,1400000US06037106648,"(34.293406, -118.4556035)",Median_Rent_Price_2010_1400000US06037106648,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1632,"Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,"(34.288747, -118.4611105)",Median_Rent_Price_2010_1400000US06037106649,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1327,"Census Tract 1070.10, Los Angeles County, California",107010,Sylmar,1400000US06037107010,"(34.302027, -118.446501)",Median_Rent_Price_2010_1400000US06037107010,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1452,"Census Tract 1070.20, Los Angeles County, California",107020,Sylmar,1400000US06037107020,"(34.2975345, -118.4503905)",Median_Rent_Price_2010_1400000US06037107020,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1081.01, Los Angeles County, California",108101,Porter Ranch,1400000US06037108101,"(34.280038, -118.5413715)",Median_Rent_Price_2010_1400000US06037108101,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1081.02, Los Angeles County, California",108102,Porter Ranch,1400000US06037108102,"(34.280795, -118.55492)",Median_Rent_Price_2010_1400000US06037108102,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1081.03, Los Angeles County, California",108103,Porter Ranch,1400000US06037108103,"(34.2860705, -118.542893)",Median_Rent_Price_2010_1400000US06037108103,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,,"Census Tract 1081.04, Los Angeles County, California",108104,Porter Ranch,1400000US06037108104,"(34.2939525, -118.5470515)",Median_Rent_Price_2010_1400000US06037108104,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1082.01, Los Angeles County, California",108201,Porter Ranch,1400000US06037108201,"(34.2857885, -118.562083)",Median_Rent_Price_2010_1400000US06037108201,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1842,"Census Tract 1082.02, Los Angeles County, California",108202,Chatsworth,1400000US06037108202,"(34.288396, -118.581814)",Median_Rent_Price_2010_1400000US06037108202,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1260,"Census Tract 1091, Los Angeles County, California",109100,Mission Hills,1400000US06037109100,"(34.278731, -118.4610295)",Median_Rent_Price_2010_1400000US06037109100,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1472,"Census Tract 1092, Los Angeles County, California",109200,Granada Hills,1400000US06037109200,"(34.2786785, -118.474608)",Median_Rent_Price_2010_1400000US06037109200,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1093, Los Angeles County, California",109300,Granada Hills,1400000US06037109300,"(34.272521, -118.479515)",Median_Rent_Price_2010_1400000US06037109300,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1702,"Census Tract 1094, Los Angeles County, California",109400,Mission Hills,1400000US06037109400,"(34.269881, -118.4552825)",Median_Rent_Price_2010_1400000US06037109400,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1113,"Census Tract 1095, Los Angeles County, California",109500,San Fernando,1400000US06037109500,"(34.274036, -118.4444575)",Median_Rent_Price_2010_1400000US06037109500,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1693,"Census Tract 1096.01, Los Angeles County, California",109601,Mission Hills,1400000US06037109601,"(34.2582765, -118.450367)",Median_Rent_Price_2010_1400000US06037109601,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1160,"Census Tract 1096.03, Los Angeles County, California",109603,Mission Hills,1400000US06037109603,"(34.2536515, -118.465415)",Median_Rent_Price_2010_1400000US06037109603,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,754,"Census Tract 1096.04, Los Angeles County, California",109604,Mission Hills,1400000US06037109604,"(34.2615535, -118.465347)",Median_Rent_Price_2010_1400000US06037109604,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1097, Los Angeles County, California",109700,Granada Hills,1400000US06037109700,"(34.263394, -118.4810215)",Median_Rent_Price_2010_1400000US06037109700,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1379,"Census Tract 1098, Los Angeles County, California",109800,North Hills,1400000US06037109800,"(34.2537535, -118.481817)",Median_Rent_Price_2010_1400000US06037109800,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1328,"Census Tract 1111, Los Angeles County, California",111100,Granada Hills,1400000US06037111100,"(34.2683575, -118.4946735)",Median_Rent_Price_2010_1400000US06037111100,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1993,"Census Tract 1112.01, Los Angeles County, California",111201,Granada Hills,1400000US06037111201,"(34.275029, -118.50855)",Median_Rent_Price_2010_1400000US06037111201,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1555,"Census Tract 1112.02, Los Angeles County, California",111202,Granada Hills,1400000US06037111202,"(34.2683485, -118.5151565)",Median_Rent_Price_2010_1400000US06037111202,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1200,"Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,1400000US06037111204,"(34.2620495, -118.5490485)",Median_Rent_Price_2010_1400000US06037111204,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1693,"Census Tract 1112.05, Los Angeles County, California",111205,Northridge,1400000US06037111205,"(34.253636, -118.5358265)",Median_Rent_Price_2010_1400000US06037111205,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,1400000US06037111206,"(34.2676425, -118.5361955)",Median_Rent_Price_2010_1400000US06037111206,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1265,"Census Tract 1113.01, Los Angeles County, California",111301,Granada Hills,1400000US06037111301,"(34.2610855, -118.5158815)",Median_Rent_Price_2010_1400000US06037111301,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1155,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,"(34.2539425, -118.512829)",Median_Rent_Price_2010_1400000US06037111302,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1146,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,1400000US06037111400,"(34.257483, -118.495412)",Median_Rent_Price_2010_1400000US06037111400,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1893,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,1400000US06037113101,"(34.265338, -118.5882575)",Median_Rent_Price_2010_1400000US06037113101,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,,"Census Tract 1131.02, Los Angeles County, California",113102,Chatsworth,1400000US06037113102,"(34.265325, -118.568068)",Median_Rent_Price_2010_1400000US06037113102,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1132.11, Los Angeles County, California",113211,Chatsworth,1400000US06037113211,"(34.2635755, -118.611966)",Median_Rent_Price_2010_1400000US06037113211,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1672,"Census Tract 1132.12, Los Angeles County, California",113212,Chatsworth,1400000US06037113212,"(34.2608605, -118.6035245)",Median_Rent_Price_2010_1400000US06037113212,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1544,"Census Tract 1132.13, Los Angeles County, California",113213,Chatsworth,1400000US06037113213,"(34.2535965, -118.608218)",Median_Rent_Price_2010_1400000US06037113213,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1219,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,1400000US06037113231,"(34.2282065, -118.645614)",Median_Rent_Price_2010_1400000US06037113231,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1532,"Census Tract 1132.32, Los Angeles County, California",113232,West Hills,1400000US06037113232,"(34.227417, -118.61402)",Median_Rent_Price_2010_1400000US06037113232,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1156,"Census Tract 1132.33, Los Angeles County, California",113233,Canoga Park,1400000US06037113233,"(34.2275575, -118.6017175)",Median_Rent_Price_2010_1400000US06037113233,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1100,"Census Tract 1132.34, Los Angeles County, California",113234,Canoga Park,1400000US06037113234,"(34.227624, -118.59227)",Median_Rent_Price_2010_1400000US06037113234,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1375,"Census Tract 1132.35, Los Angeles County, California",113235,Chatsworth,1400000US06037113235,"(34.2373915, -118.6488335)",Median_Rent_Price_2010_1400000US06037113235,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1899,"Census Tract 1132.37, Los Angeles County, California",113237,Chatsworth,1400000US06037113237,"(34.2451855, -118.6125745)",Median_Rent_Price_2010_1400000US06037113237,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1133.01, Los Angeles County, California",113301,Northridge,1400000US06037113301,"(34.2448005, -118.5590895)",Median_Rent_Price_2010_1400000US06037113301,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1206,"Census Tract 1133.03, Los Angeles County, California",113303,Chatsworth,1400000US06037113303,"(34.2420235, -118.5801645)",Median_Rent_Price_2010_1400000US06037113303,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1203,"Census Tract 1133.21, Los Angeles County, California",113321,Chatsworth,1400000US06037113321,"(34.25361, -118.5913535)",Median_Rent_Price_2010_1400000US06037113321,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1133.22, Los Angeles County, California",113322,Chatsworth,1400000US06037113322,"(34.253622, -118.571362)",Median_Rent_Price_2010_1400000US06037113322,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1543,"Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,1400000US06037113401,"(34.2279845, -118.562301)",Median_Rent_Price_2010_1400000US06037113401,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1209,"Census Tract 1134.21, Los Angeles County, California",113421,Winnetka,1400000US06037113421,"(34.234694, -118.5826685)",Median_Rent_Price_2010_1400000US06037113421,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1112,"Census Tract 1134.22, Los Angeles County, California",113422,Winnetka,1400000US06037113422,"(34.224085, -118.5821745)",Median_Rent_Price_2010_1400000US06037113422,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,794,"Census Tract 1151.01, Los Angeles County, California",115101,Northridge,1400000US06037115101,"(34.239435, -118.5112365)",Median_Rent_Price_2010_1400000US06037115101,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1200,"Census Tract 1151.03, Los Angeles County, California",115103,Northridge,1400000US06037115103,"(34.246414, -118.528551)",Median_Rent_Price_2010_1400000US06037115103,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1272,"Census Tract 1151.04, Los Angeles County, California",115104,Northridge,1400000US06037115104,"(34.2395005, -118.523595)",Median_Rent_Price_2010_1400000US06037115104,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1138,"Census Tract 1152.01, Los Angeles County, California",115201,Northridge,1400000US06037115201,"(34.244559, -118.537408)",Median_Rent_Price_2010_1400000US06037115201,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1217,"Census Tract 1152.02, Los Angeles County, California",115202,Northridge,1400000US06037115202,"(34.2338575, -118.537507)",Median_Rent_Price_2010_1400000US06037115202,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1461,"Census Tract 1153.01, Los Angeles County, California",115301,Northridge,1400000US06037115301,"(34.240482, -118.545339)",Median_Rent_Price_2010_1400000US06037115301,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1054,"Census Tract 1153.02, Los Angeles County, California",115302,Northridge,1400000US06037115302,"(34.226401, -118.5498615)",Median_Rent_Price_2010_1400000US06037115302,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1005,"Census Tract 1154.01, Los Angeles County, California",115401,Northridge,1400000US06037115401,"(34.2247565, -118.5149735)",Median_Rent_Price_2010_1400000US06037115401,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1069,"Census Tract 1154.03, Los Angeles County, California",115403,Northridge,1400000US06037115403,"(34.22481, -118.5317135)",Median_Rent_Price_2010_1400000US06037115403,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1144,"Census Tract 1154.04, Los Angeles County, California",115404,Northridge,1400000US06037115404,"(34.2257645, -118.5412445)",Median_Rent_Price_2010_1400000US06037115404,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1317,"Census Tract 1171.01, Los Angeles County, California",117101,North Hills,1400000US06037117101,"(34.2391215, -118.4617905)",Median_Rent_Price_2010_1400000US06037117101,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,879,"Census Tract 1171.02, Los Angeles County, California",117102,North Hills,1400000US06037117102,"(34.2463715, -118.4596495)",Median_Rent_Price_2010_1400000US06037117102,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,949,"Census Tract 1172.01, Los Angeles County, California",117201,North Hills,1400000US06037117201,"(34.242798, -118.470143)",Median_Rent_Price_2010_1400000US06037117201,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1837,"Census Tract 1172.02, Los Angeles County, California",117202,North Hills,1400000US06037117202,"(34.242857, -118.478624)",Median_Rent_Price_2010_1400000US06037117202,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,2000,"Census Tract 1173.01, Los Angeles County, California",117301,North Hills,1400000US06037117301,"(34.242917, -118.4905265)",Median_Rent_Price_2010_1400000US06037117301,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1305,"Census Tract 1173.02, Los Angeles County, California",117302,Northridge,1400000US06037117302,"(34.235472, -118.49709)",Median_Rent_Price_2010_1400000US06037117302,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,1700,"Census Tract 1173.03, Los Angeles County, California",117303,North Hills,1400000US06037117303,"(34.2281815, -118.4920695)",Median_Rent_Price_2010_1400000US06037117303,01/01/2010
Housing & Real Estate,Rent Price,Median Rent Price,2010,950,"Census Tract 1174.04, Los Angeles County, California",117404,North Hills,1400000US06037117404,"(34.228481, -118.479066)",Median_Rent_Price_2010_1400000US06037117404,01/01/2010
